ETF基金简称,ETF基金代码,UK
创业板50,159949,4013400000000001
创业板EF,159948,4013400000000002
纳指100,159941,4013400000000003
全指消费,159946,4013400000000004
深证ETF,159943,4013400000000005
全指材料,159944,4013400000000006
全指能源,159945,4013400000000007
中创100,159942,4013400000000008
全指金融,159940,4013400000000009
信息技术,159939,401340000000000a
添富快钱,159005,401340000000000b
广发医药,159938,401340000000000c
保证金,159001,401340000000000d
招商快线,159003,401340000000000e
博时黄金,159937,401340000000000f
可选消费,159936,4013400000000010
景顺500,159935,4013400000000011
黄金ETF,159934,4013400000000012
500深ETF,159932,4013400000000013
金地ETF,159933,4013400000000014
消费ETF,159928,4013400000000015
医药ETF,159929,4013400000000016
能源ETF,159930,4013400000000017
金融ETF,159931,4013400000000018
A300ETF,159927,4013400000000019
国债ETF,159926,401340000000001a
300等权,159924,401340000000001b
南方300,159925,401340000000001c
500ETF,159922,401340000000001d
100ETF,159923,401340000000001e
中小等权,159921,401340000000001f
恒生ETF,159920,4013400000000020
300ETF,159919,4013400000000021
中创400,159918,4013400000000022
创业板,159915,4013400000000023
深300ETF,159912,4013400000000024
深价值,159913,4013400000000025
深F60,159916,4013400000000026
民营ETF,159911,4013400000000027
深F120,159910,4013400000000028
深TMT,159909,4013400000000029
中小300,159907,401340000000002a
深F200,159908,401340000000002b
深成长,159906,401340000000002c
深红利,159905,401340000000002d
深成ETF,159903,401340000000002e
中 小 板,159902,401340000000002f
深100ETF,159901,4013400000000030
