挂牌代码,债券全称,上市日期,到期日期,票面利率,UK
110030,格力转债,2015/1/13,2019/12/24,0.8,402235a000000001
110031,航信转债,2015/6/30,2021/6/11,0.5,402235b200000002
110032,三一转债,2016/1/18,2022/1/3,0.2,402235b900000003
110033,国贸转债,2016/1/19,2022/1/4,0.3,402235b900000004
110034,九州转债,2016/1/29,2022/1/14,0.2,402235b900000005
110035,白云转债,2016/3/15,2021/2/25,0.2,402235ae00000006
113008,电气转债,2015/2/16,2021/2/1,0.5,402235ae00000007
113009,广汽转债,2016/2/4,2022/1/21,0.2,402235b900000008
113010,江南转债,2016/4/5,2022/3/17,0.3,402235bb00000009
