公司代码,公司简称,B股代码,B股简称,B股上市日期,B股总股本,B股流通股本,UK编码
600054,黄山旅游,900942,黄山B股,1997/5/6,74730,41043,4091100000000001
600094,大名城,900940,大名城B,1997/7/3,201155.69,201155.69,4091100000000002
600190,锦州港,900952,锦港B股,1999/6/9,200229.15,156178.74,4091100000000003
600221,海南航空,900945,海航B股,1999/11/25,1218218.18,1218151.06,4091100000000004
600272,开开实业,900943,开开B股,1997/1/8,24300,24000,4091100000000005
600295,鄂尔多斯,900936,鄂资B股,1995/10/20,103200,103200,4091100000000006
600320,振华重工,900947,振华B股,2000/12/21,439029.46,439029.46,4091100000000007
600555,海航创新,900955,海创B股,2001/3/28,130350,130350,4091100000000008
600602,云赛智联,900901,云赛B股,1990/12/19,132683.51,117294.31,4091100000000009
600604,市北高新,900902,市北B股,1992/3/27,76029.71,56644.92,409110000000000a
600610,中毅达,900906,中毅达B,1992/8/5,107127.46,65109.46,409110000000000b
600611,大众交通,900903,大众B股,1992/8/7,236412.29,236412.29,409110000000000c
600612,老凤祥,900905,老凤祥B,1992/8/14,52311.78,52311.78,409110000000000d
600613,神奇制药,900904,神奇B股,1992/8/20,53407.16,53407.16,409110000000000e
600614,鼎立股份,900907,鼎立B股,1992/8/28,175277.38,135405.53,409110000000000f
600617,国新能源,900913,国新B股,1992/10/13,108466.37,33523.12,4091100000000010
600618,氯碱化工,900908,氯碱B股,1992/11/13,115640,115640,4091100000000011
600619,海立股份,900910,海立B股,1992/11/13,86631.07,66774.41,4091100000000012
600623,华谊集团,900909,华谊B股,1992/12/4,211743.09,88946.77,4091100000000013
600639,浦东金桥,900911,金桥B股,1993/3/26,112241.29,92882.5,4091100000000014
600648,外高桥,900912,外高B股,1993/5/4,113534.91,113534.91,4091100000000015
600650,锦江投资,900914,锦投B股,1993/6/7,55161.01,55161.01,4091100000000016
600663,陆家嘴,900932,陆家B股,1993/6/28,336183.12,336183.12,4091100000000017
600679,上海凤凰,900916,凤凰B股,1993/10/8,40219.89,35361.97,4091100000000018
600680,上海普天,900930,沪普天B,1993/10/18,38222.53,38222.53,4091100000000019
600689,上海三毛,900922,三毛B股,1993/11/8,20099.13,20099.13,409110000000001a
600695,绿庭投资,900919,绿庭B股,1993/11/22,71113.21,71113.21,409110000000001b
600698,湖南天雁,900946,天雁B股,1993/12/6,97181.74,66109.18,409110000000001c
600726,华电能源,900937,华电B股,1996/7/1,196667.52,196667.52,409110000000001d
600751,天海投资,900938,天海B,1996/9/9,289933.78,211897.09,409110000000001e
600754,锦江股份,900934,锦江B股,1996/10/11,80451.77,60324.07,409110000000001f
600776,东方通信,900941,东信B股,1996/11/26,125600.01,125600.01,4091100000000020
600801,华新水泥,900933,华新B股,1994/1/3,149757.13,149757.13,4091100000000021
600818,中路股份,900915,中路B股,1994/1/28,32144.79,32144.79,4091100000000022
600819,耀皮玻璃,900918,耀皮B股,1994/1/28,93491.61,85997.26,4091100000000023
600822,上海物贸,900927,物贸B股,1994/2/4,49597.29,49597.29,4091100000000024
600827,百联股份,900923,百联B股,1994/2/4,178416.81,172249.58,4091100000000025
600835,上海机电,900925,机电B股,1994/2/24,102273.93,102273.93,4091100000000026
600841,上柴股份,900920,上柴B股,1994/3/11,86668.98,86668.98,4091100000000027
600843,上工申贝,900924,上工B股,1994/3/11,54858.96,54858.96,4091100000000028
600844,丹化科技,900921,丹科B股,1994/3/11,77862.06,77862.06,4091100000000029
600845,宝信软件,900926,宝信B,1994/3/11,78324.92,70249.53,409110000000002a
600848,上海临港,900928,临港B股,1994/3/24,89517.21,39928.69,409110000000002b
600851,海欣股份,900917,海欣B股,1994/4/4,120705.67,120705.67,409110000000002c
900929,锦旅B股,900929,锦旅B股,1994/9/28,13255.66,6600,409110000000002d
900935,阳晨B股,900935,阳晨B股,1995/7/27,24459.6,10560,409110000000002e
900939,汇丽B,900939,汇丽B,1996/6/28,18150,8800,409110000000002f
900948,伊泰B股,900948,伊泰B股,1997/8/8,325400.7,165400.7,4091100000000030
900951,大化B股,900951,大化B股,1997/10/21,27500,10000,4091100000000031
900953,凯马B,900953,凯马B,1998/6/24,64000,24000,4091100000000032
900956,东贝B股,900956,东贝B股,1999/7/15,23500,11500,4091100000000033
900957,凌云B股,900957,凌云B股,2000/7/28,34900,18400,4091100000000034
