LOF基金简称,LOF基金代码,UK
南方积配,160105,4013300000000001
南方高增,160106,4013300000000002
南方500,160119,4013300000000003
南方50债,160123,4013300000000004
南方香港,160125,4013300000000005
南方金利,160128,4013300000000006
南方永利,160130,4013300000000007
南方聚利,160131,4013300000000008
南方天元,160133,4013300000000009
国泰小盘,160211,401330000000000a
国泰估值,160212,401330000000000b
国泰价值,160215,401330000000000c
国泰商品,160216,401330000000000d
国泰民益,160220,401330000000000e
新汽车,160225,401330000000000f
华夏蓝筹,160311,4013300000000010
华夏行业,160314,4013300000000011
华安S300,160415,4013300000000012
石油基金,160416,4013300000000013
博时主题,160505,4013300000000014
博时卓越,160512,4013300000000015
稳健债A,160513,4013300000000016
安丰18,160515,4013300000000017
博时睿远,160518,4013300000000018
鹏华价值,160607,4013300000000019
鹏华动力,160610,401330000000001a
鹏华治理,160611,401330000000001b
鹏华创新,160613,401330000000001c
鹏华300,160615,401330000000001d
鹏华500,160616,401330000000001e
鹏华丰润,160617,401330000000001f
鹏华丰泽,160618,4013300000000020
鹏华丰和,160621,4013300000000021
鹏华丰利,160622,4013300000000022
医药基金,160635,4013300000000023
嘉实 300,160706,4013300000000024
嘉实50,160716,4013300000000025
恒生H股,160717,4013300000000026
嘉实黄金,160719,4013300000000027
中期企债,160720,4013300000000028
长盛同智,160805,4013300000000029
长盛同庆,160806,401330000000002a
长盛300,160807,401330000000002b
长盛同丰,160810,401330000000002c
长盛同益,160812,401330000000002d
长盛同盛,160813,401330000000002e
大成创新,160910,401330000000002f
大成景丰,160915,4013300000000030
优选LOF,160916,4013300000000031
大成小盘,160918,4013300000000032
大成产业,160919,4013300000000033
长城久富,162006,4013300000000034
持久增利,162105,4013300000000035
元盛债券,162108,4013300000000036
泰达效率,162207,4013300000000037
泰达聚利,162215,4013300000000038
海富100,162307,4013300000000039
海富增利,162308,401330000000003a
华宝油气,162411,401330000000003b
新机遇,162414,401330000000003c
美国消费,162415,401330000000003d
国安双力,162510,401330000000003e
景顺鼎益,162605,401330000000003f
景顺资源,162607,4013300000000040
广发小盘,162703,4013300000000041
广发500L,162711,4013300000000042
广发聚利,162712,4013300000000043
广发聚源,162715,4013300000000044
